no  ; surah         ; ayah ; memorized
1   ; Al-Fatihah    ; 7    ; 7
2   ; Al-Baqarah    ; 286  ; 1-5, 255-257, 275-281, 284-286
3   ; Ali 'Imran    ; 200  ; 1-22, 26-27
4   ; An-Nisa'      ; 176  ;
5   ; Al-Ma'idah    ; 120  ;
6   ; Al-An'am      ; 165  ;
7   ; Al-A'raf      ; 206  ;
8   ; Al-Anfal      ; 75   ; 1-4
9   ; At-Taubah     ; 129  ;
10  ; Yunus         ; 109  ;
11  ; Hud           ; 123  ;
12  ; Yusuf         ; 111  ;
13  ; Ar-Ra'd       ; 43   ;
14  ; Ibrahim       ; 52   ;
15  ; Al-Hijr       ; 99   ;
16  ; An-Nahl       ; 128  ; 1-18
17  ; Al-Isra'      ; 111  ;
18  ; Al-Kahf       ; 110  ;
19  ; Maryam        ; 98   ;
20  ; Ta Ha         ; 135  ;
21  ; Al-Anbiya     ; 112  ;
22  ; Al-Hajj       ; 78   ;
23  ; Al-Mu'minun   ; 118  ; 1-11
24  ; An-Nur        ; 64   ;
25  ; Al-Furqan     ; 77   ;
26  ; Asy-Syu'ara'  ; 227  ;
27  ; An-Naml       ; 93   ;
28  ; Al-Qasas      ; 88   ;
29  ; Al-'Ankabut   ; 69   ;
30  ; Ar-Rum        ; 60   ;
31  ; Luqman        ; 34   ;
32  ; As-Sajdah     ; 30   ;
33  ; Al-Ahzab      ; 73   ;
34  ; Saba'         ; 54   ;
35  ; Fatir         ; 45   ;
36  ; Ya Sin        ; 83   ; 1-6
37  ; As-Saffat     ; 182  ;
38  ; Sad           ; 88   ;
39  ; Az-Zumar      ; 75   ;
40  ; Al-Mu'min     ; 85   ;
41  ; Fussilat      ; 54   ;
42  ; Asy-Syura     ; 53   ;
43  ; Az-Zukhruf    ; 89   ;
44  ; Ad-Dukhan     ; 59   ;
45  ; Al-Jasiyah    ; 37   ;
46  ; Al-Ahqaf      ; 35   ;
47  ; Muhammad      ; 38   ;
48  ; Al-Fath       ; 29   ;
49  ; Al-Hujurat    ; 18   ;
50  ; Qaf           ; 45   ;
51  ; Az-Zariyat    ; 60   ;
52  ; At-Tur        ; 49   ;
53  ; An-Najm       ; 62   ;
54  ; Al-Qamar      ; 55   ;
55  ; Ar-Rahman     ; 78   ; 1-5
56  ; Al-Waqi'ah    ; 96   ; 1-11
57  ; Al-Hadid      ; 29   ;
58  ; Al-Mujadilah  ; 22   ;
59  ; Al-Hasyr      ; 24   ;
60  ; Al-Mumtahanah ; 13   ;
61  ; As-Saff       ; 14   ;
62  ; Al-Jumu'ah    ; 11   ;
63  ; Al-Munafiqun  ; 11   ;
64  ; At-Tagabun    ; 18   ;
65  ; At-Talaq      ; 12   ;
66  ; At-Tahrim     ; 12   ;
67  ; Al-Mulk       ; 30   ; 30
68  ; Al-Qalam      ; 52   ; 52
69  ; Al-Haqqah     ; 52   ; 52
70  ; Al-Ma'arij    ; 44   ; 44
71  ; Nuh           ; 28   ; 28
72  ; Al-Jinn       ; 28   ; 28
73  ; Al-Muzzammil  ; 20   ; 1-3
74  ; Al-Muddassir  ; 56   ;
75  ; Al-Qiyamah    ; 40   ;
76  ; Al-Insan      ; 31   ;
77  ; Al-Mursalat   ; 50   ;
78  ; An-Naba'      ; 40   ; 40
79  ; An-Nazi'at    ; 46   ; 46
80  ; 'Abasa        ; 42   ; 42
81  ; At-Takwir     ; 29   ; 29
82  ; Al-Infitar    ; 19   ; 19
83  ; Al-Tatfif     ; 36   ; 36
84  ; Al-Insyiqaq   ; 25   ; 25
85  ; Al-Buruj      ; 22   ; 22
86  ; At-Tariq      ; 17   ; 17
87  ; Al-A'la       ; 19   ; 19
88  ; Al-Gasyiyah   ; 26   ; 26
89  ; Al-Fajr       ; 30   ; 30
90  ; Al-Balad      ; 20   ; 20
91  ; Asy-Syams     ; 15   ; 15
92  ; Al-Lail       ; 21   ; 21
93  ; Ad-Duha       ; 11   ; 11
94  ; Al-Insyirah   ; 8    ; 8
95  ; At-Tin        ; 8    ; 8
96  ; Al-'Alaq      ; 19   ; 19
97  ; Al-Qadr       ; 5    ; 5
98  ; Al-Bayyinah   ; 8    ; 8
99  ; Az-Zalzalah   ; 8    ; 8
100 ; Al-'Adiyat    ; 11   ; 11
101 ; Al-Qari'ah    ; 11   ; 11
102 ; At-Takasur    ; 8    ; 8
103 ; Al-'Asr       ; 3    ; 3
104 ; Al-Humazah    ; 9    ; 9
105 ; Al-Fil        ; 5    ; 5
106 ; Quraisy       ; 4    ; 4
107 ; Al-Ma'un      ; 7    ; 7
108 ; Al-Kausar     ; 3    ; 3
109 ; Al-Kafirun    ; 6    ; 6
110 ; An-Nasr       ; 3    ; 3
111 ; Al-Lahab      ; 5    ; 5
112 ; Al-Ikhlas     ; 4    ; 4
113 ; Al-Falaq      ; 5    ; 5
114 ; An-Nas        ; 6    ; 6
